country,density_dots
Singapore,1590.599684
Hong Kong SAR. China,1419.238095
Bahrain,403.45474
Bangladesh,247.9158624
Lebanon,133.898827
Mauritius,124.6603941
Korea. Rep.,105.9304207
Netherlands,102.2915821
Rwanda,99.73197406
India,90.98761452
Burundi,87.0356542
Israel,82.10536044
Haiti,80.71970972
Belgium,75.44298546
Puerto Rico,72.04403608
Philippines,71.53766106
Japan,69.41469168
Sri Lanka,69.1117844
El Salvador,61.97629344
Vietnam,61.62504918
Pakistan,55.05786374
United Kingdom,54.96547844
Jamaica,54.19861496
Trinidad and Tobago,54.18549708
Qatar,47.9186391
Germany,47.47419396
Kuwait,46.43444444
Gambia. The,45.06130434
Dominican Republic,43.99571518
Switzerland,43.10427568
Nigeria,43.0129978
Uganda,42.6123469
Korea. Dem. People’s Rep.,42.43803504
Italy,41.09014958
Nepal,39.18782142
Malawi,38.48815232
Guatemala,32.19075588
China,29.66976666
Indonesia,29.55043802
Togo,29.00935466
Denmark,27.61346034
Czech Republic,27.52057758
Thailand,27.17944136
United Arab Emirates,27.12182202
Ghana,26.16428584
Cyprus,25.74166666
Poland,24.80717724
Moldova,24.7039607
France,24.46767914
Azerbaijan,24.05306398
Slovak Republic,22.65811564
Portugal,22.4478907
Jordan,22.42849966
Ethiopia,21.8449118
Cuba,21.79991924
Hungary,21.5813211
Austria,21.44138534
Turkey,21.39202578
Sierra Leone,21.1974342
Albania,20.92245256
Armenia,20.73604496
Slovenia,20.5279719
Benin,20.37078396
Egypt. Arab Rep.,19.77469386
