country,density_dots
Bahrain,2017
Bangladesh,1240
Korea Rep.,530
Netherlands,511
Rwanda,499
India,455
Burundi,435
Haiti,404
Belgium,377
Philippines,358
Japan,347
Sri Lanka,346
Vietnam,308
Pakistan,275
United Kingdom,275
Germany,237
Dominican Republic,220
Nigeria,215
Uganda,213
Korea Dem. People's Rep.,212
Italy,205
Nepal,196
Malawi,192
Guatemala,161
China,148
Indonesia,148
Czech Republic,138
Thailand,136
Ghana,131
Poland,124
France,122
Portugal,112
Ethiopia,109
Cuba,109
Turkey,107
Benin,102
Egypt Arab Rep.,99
Malaysia,96
Spain,94
Syrian Arab Republic,92
